Genus,species,PCO1,PCO2,r,vectors
Rhynchobatus,laevis,-0.160676611,0.126924975,0.204760647,
Scarus,ghobban,-0.134573989,0.002910639,0.134605461,
Scarus,sp3,-0.163243479,0.005998048,0.163353635,
Scomberomorus,commerson,-0.052886123,-0.05602846,0.077046287,
Epinephelus,amblycephalus,-0.12483933,0.037047031,0.130220355,
Epinephelus,coioides,-0.077473397,-0.02885904,0.082673886,
Epinephelus,morrhua,-0.115144555,0.12116698,0.167151745,
Epinephelus,rivulatus,-0.28191894,0.092759069,0.296787017,
Epinephelus,tukula,-0.14479977,0.023991199,0.146773809,
Variola,louti,-0.151056083,-0.017009752,0.152010762,
Argyrops,spinifer,-0.388448797,0.282540343,0.480334793,
Chrysophrys,auratus,-0.087263523,0.113016633,0.14278544,
Sphyraena,forsteri,-0.051091919,0.041715976,0.06595913,
Sphyraena,jello,-0.052886123,-0.05602846,0.077046287,
Sphyraena,qenie,-0.119055093,-0.012064354,0.119664798,
Sphyraena,spp,-0.192822703,0.106674907,0.220363633,
Sphyrna,mokarran,-0.09829282,0.028359919,0.102302314,
Stegostoma,fasciatum,-0.058017299,0.028948282,0.064838337,
Saurida,undosquamis,-0.139904994,0.094348911,0.168745738,
Arothron,stellatus,-0.126133498,0.026634783,0.128914975,
Lagocephalus,lunaris,-0.226992579,0.122358514,0.257870582,
Lagocephalus,sceleratus,-0.182219352,0.046264217,0.188000718,
Hemitriakis,falcata,-0.170523702,0.185157329,0.251717241,
Mustelus,ravidus,-0.199875337,0.033105279,0.202598396,
Mustelus,stevensi,-0.127521076,0.074198504,0.147536582,
