Taxa,PCO1,PCO2,r,vectors
Cheilodactylidae Cheilodactylus gibbosus,0.11509155,0.211032996,0.240376767,
Dasyatidae Taeniurops meyeni,0.034811029,0.136311126,0.140685929,
Echeneidae Echeneis naucrates,0.11509155,0.211032996,0.240376767,
Gerreidae Parequula melbournensis,0,0,0,
Gerreidae Pentaprion longimanus,0,0,0,
Gerreidae Unknown spp,0,0,0,
Glaucosomatidae Glaucosoma buergeri,0,0,0,
Haemulidae Diagramma pictum labiosum,0.076323106,0.035131108,0.084020303,
Labridae Anampses caeruleopunctatus,0.144071262,0.131394654,0.194989958,
Labridae Bodianus spp,0.006302417,0.253117122,0.253195572,
Labridae Bodianus vulpinus,0.034811029,0.136311126,0.140685929,
Labridae Stethojulis sp,0.167534551,0.112241466,0.201658059,
Labridae Stethojulis sp1,0,0,0,
Labridae Stethojulis spp,0,0,0,
Labridae Thalassoma lutescens,0.144071262,0.131394654,0.194989958,
Labridae Unknown sp,0.11509155,0.211032996,0.240376767,
Labridae Unknown sp1,0.226350104,0.080937267,0.240385547,
Lethrinidae Gymnocranius grandoculis,0,0,0,
Lethrinidae Lethrinus ravus,0.144071262,0.131394654,0.194989958,
Lutjanidae Pristipomoides multidens,0,0,0,
Lutjanidae Pristipomoides spp,0,0,0,
Lutjanidae Pristipomoides typus,0,0,0,
Monacanthidae Nelusetta ayraud,0.01151175,0.297312837,0.297535617,
Monacanthidae Unknown sp1,0.144071262,0.131394654,0.194989958,
Monacanthidae Unknown spp,-0.001831952,0.186063934,0.186072953,
Muraenidae Gymnothorax thyrsoideus,0,0,0,
Muraenidae Gymnothorax woodwardi,0.217046553,0.140017439,0.258290707,
Muraenidae Unknown spp,0,0,0,
Nemipteridae Pentapodus spp,0.095023756,0.13338048,0.163767721,
Nempiteridae Pentapodus nagasakiensis,0.034811029,0.136311126,0.140685929,
Orectolobidae Orectolobus hutchinsi,0.160226905,0.025604803,0.162259875,
Ostraciidae Tetrosomus reipublicae,0,0,0,
Pempherididae Pempheris tominagai,0.164955157,0.05002721,0.172374376,
Pinguipedidae Parapercis haackei,0.093893677,-0.074453097,0.119830239,
Pinguipedidae Parapercis nebulosa,0.054400499,0.295225376,0.300195664,
Pinguipedidae Unknown spp,0,0,0,
Pomacentridae Parma occidentalis,0.152824146,0.063602905,0.165531112,
Rachycentridae Rachycentron canadum,0,0,0,
Rhinidae Rhynchobatus australiae,-0.052680252,0.166969831,0.175083218,
Scombridae Scomberomorus spp,0.10942435,0.11960711,0.162109683,
Serranidae Epinephelus areolatus,0,0,0,
Serranidae Epinephelus morrhua,0,0,0,
Siganidae Siganus argenteus,0.144071262,0.131394654,0.194989958,
Siganidae Siganus punctatus,0.144071262,0.131394654,0.194989958,
Sphyrnidae Sphyrna lewini,-0.0728653,0.024026158,0.076724235,
Tetraodontidae Lagocephalus sceleratus,-0.104771651,0.332979935,0.349074112,
Tetraodontidae Torquigener sp10,0.093893677,-0.074453097,0.119830239,
Tetraodontidae Unknown sp1,0,0,0,
Triakidae Hemitriakis falcata,0,0,0,
Triakidae Mustelus spp,-0.157582549,0.14760167,0.215913206,
Trygonorrhinidae Aptychotrema vincentiana,0.152824146,0.063602905,0.165531112,
Urolophidae Unknown spp,0.122156651,-0.106538216,0.162088368,
Zanclidae Zanclus cornutus,0.144071262,0.131394654,0.194989958,
