 ,Sample,Latitude,Longitude,Date.time,Site,Location,Status,Depth,Observer.count,Checked MaxN,Checked Length,Successful.count,Successful.length,Habitat.Length.analyst,Length.Habitat.Date,Comment,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Observer.length,Length.complete.date.yyyymmdd,Notes
20220525-4-NAKED,252,-22.7054,113.5576,2022-05-25T14:49:34+0800,,Point Cloates,No-take,79.3,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Claude Spencer,Claude Spencer,20230726,still no fish (I blame the sharks from 4 vids ago)
20220525-4-NAKED,220,-22.7067,113.5554,2022-05-25T15:00:42+0800,,Point Cloates,No-take,80.8,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,268,-22.7054,113.5501,2022-05-25T15:12:08+0800,,Point Cloates,No-take,90.6,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
20220525-4-NAKED,247,-22.7047,113.5467,2022-05-25T15:26:15+0800,,Point Cloates,No-take,96.4,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,No,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Claude Spencer,Claude Spencer,20230726,
20220525-5-NAKED,254,-22.6993,113.5499,2022-05-25T15:40:10+0800,,Point Cloates,No-take,96,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,White flashy light synced. Red lights checked. GTG,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
20220525-5-NAKED,242,-22.7009,113.5519,2022-05-25T15:53:38+0800,,Point Cloates,No-take,88.5,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
20220525-5-NAKED,206,-22.7019,113.5608,2022-05-25T16:07:23+0800,,Point Cloates,No-take,76.6,Kaitlin McCloghry,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Claude Spencer,Claude Spencer,20230726,no fish
20220525-5-NAKED,257,-22.7001,113.5592,2022-05-25T16:18:12+0800,,Point Cloates,No-take,79.4,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B47 - preferential site,RAW1,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
20220526-2-NAKED,229,-22.6961,113.5632,2022-05-26T13:54:13+0800,,Point Cloates,No-take,76.2,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Checked red lights - GTG.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,Claude Spencer,Claude Spencer,20230726,no fish
20220526-2-NAKED,250,-22.6972,113.5605,2022-05-26T14:06:02+0800,,Point Cloates,No-take,78.1,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,Molly Gerrans,Molly Gerrans,20230403,Post-CAL
20220526-3-NAKED,258,-22.6958,113.5593,2022-05-26T14:20:39+0800,,Point Cloates,No-take,79.6,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Synced white flashy lights before drop. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220526-3-NAKED,234,-22.6938,113.5563,2022-05-26T14:39:27+0800,,Point Cloates,No-take,85.6,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Claude Spencer,Claude Spencer,20230726,no fish
20220526-3-NAKED,213,-22.6919,113.5534,2022-05-26T14:52:29+0800,,Point Cloates,No-take,93.5,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Forgot to show whiteboard before - shown after.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220526-3-NAKED,204,-22.6911,113.5576,2022-05-26T15:07:11+0800,,Point Cloates,No-take,85.8,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220526-3-NAKED,261,-22.6899,113.5608,2022-05-26T15:21:00+0800,,Point Cloates,No-take,78.8,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B51 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Molly Gerrans,20230127,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220526-3-NAKED,222,-22.6884,113.561,2022-05-26T15:37:06+0800,,Point Cloates,No-take,78.2,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Claude Spencer,Claude Spencer,20230726,No fish :(
20220526-3-NAKED,246,-22.6891,113.5588,2022-05-26T15:52:13+0800,,Point Cloates,No-take,84.3,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Claude Spencer,Claude Spencer,20230726,No fish :(
20220526-3-NAKED,239,-22.6885,113.5564,2022-05-26T16:04:43+0800,,Point Cloates,No-take,90.5,Molly Gerrans ,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Molly Gerrans,20230127,Claude Spencer,Claude Spencer,20230726,Changed period to remove sediment issue in first minute
20220527-1-NAKED,238,-22.6864,113.5594,2022-05-27T08:35:45+0800,,Point Cloates,No-take,85.9,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220527-1-NAKED,210,-22.686,113.5589,2022-05-27T08:51:10+0800,,Point Cloates,No-take,87.7,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Missed board completely.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220527-1-NAKED,202,-22.6851,113.5571,2022-05-27T09:03:52+0800,,Point Cloates,No-take,91.4,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,Showed whiteboard after drop.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220527-1-NAKED,263,-22.684,113.5635,2022-05-27T09:17:26+0800,,Point Cloates,No-take,77.7,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B53 - preferential site. Showed whiteboard before drop.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Claude Spencer,Claude Spencer,20230726,no fish
20220527-1-NAKED,271,-22.6776,113.5654,2022-05-27T09:32:15+0800,,Point Cloates,No-take,79.5,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B61 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Claude Spencer,Claude Spencer,20230726,no fish 
20220527-1-NAKED,273,-22.6741,113.5665,2022-05-27T09:48:58+0800,,Point Cloates,No-take,77.2,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B63 - preferential site. Red cams checked after drop - GTG.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
20220527-1-NAKED,267,-22.6751,113.5615,2022-05-27T10:02:00+0800,,Point Cloates,No-take,88.4,Henry Evans,Hannah Williams,Hannah Williams,Yes,Yes,Kat,21/02/2023,B57 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
