sample,Carangidae Seriola dumerili,Carangidae Seriola hippos,Carangidae Unknown sp10,Carcharhinidae Carcharhinus plumbeus,Chaetodontidae Chaetodon assarius,Cirrhitidae Paracirrhites forsteri,Echeneidae Unknown spp,Ginglymostomatidae Nebrius ferrugineus,Glaucosomatidae Glaucosoma hebraicum,Labridae Anampses geographicus,Labridae Austrolabrus maculatus,Labridae Bodianus bilunulatus,Labridae Bodianus solatus,Labridae Choerodon rubescens,Labridae Coris auricularis,Labridae Coris caudimacula,Labridae Labroides dimidiatus,Labridae Notolabrus parilus,Labridae Pseudojuloides elongatus,Labridae Suezichthys cyanolaemus,Labridae Unknown sp3,Labridae Unknown spp,Lethrinidae Gymnocranius spp,Lethrinidae Lethrinus miniatus,Lethrinidae Lethrinus nebulosus,Lethrinidae Lethrinus spp,Lethrinidae Unknown spp,Lutjanidae Lutjanus sp10,Monacanthidae Eubalichthys caeruleoguttatus,Mullidae Parupeneus chrysopleuron,Mullidae Parupeneus spilurus,Nemipteridae Pentapodus nagasakiensis,Ostraciidae Unknown spp,Pempherididae Pempheris klunzingeri,Pinguipedidae Parapercis spp,Platycephalidae Platycephalus spp,Pomacanthidae Apolemichthys trimaculatus,Pomacanthidae Chaetodontoplus personifer,Pomacanthidae Pomacanthus semicirculatus,Pomacentridae Chromis spp,Scaridae Scarus chameleon,Scaridae Scarus ghobban,Scaridae Scarus sp3,Scaridae Scarus spp,Scorpididae Neatypus obliquus,Scorpididae Scorpis georgiana,Serranidae Caprodon schlegelii,Serranidae Epinephelus rivulatus,Serranidae Plectropomus spp,Serranidae Pseudanthias spp,Sparidae Chrysophrys auratus,SUS SUS sus,Tetraodontidae Unknown spp,Acanthuridae Acanthurus olivaceus,Acanthuridae Acanthurus xanthopterus,Apogonidae Ostorhinchus angustatus,Apogonidae Ostorhinchus spp,Ariidae Netuma thalassina,Carangidae Carangoides fulvoguttatus,Carangidae Carangoides spp,Carangidae Pseudocaranx spp,Carangidae Unknown spp,Carcharhinidae Carcharhinus albimarginatus,Carcharhinidae Carcharhinus spp,Carcharhinidae Galeocerdo cuvier,Chaetodontidae Chaetodon auriga,Chaetodontidae Chaetodon lunula,Cheilodactylidae Cheilodactylus gibbosus,Dasyatidae Taeniurops meyeni,Echeneidae Echeneis naucrates,Gerreidae Parequula melbournensis,Gerreidae Pentaprion longimanus,Gerreidae Unknown spp,Glaucosomatidae Glaucosoma buergeri,Haemulidae Diagramma pictum labiosum,Labridae Anampses caeruleopunctatus,Labridae Bodianus spp,Labridae Bodianus vulpinus,Labridae Stethojulis sp,Labridae Stethojulis sp1,Labridae Stethojulis spp,Labridae Thalassoma lutescens,Labridae Unknown sp,Labridae Unknown sp1,Lethrinidae Gymnocranius grandoculis,Lethrinidae Lethrinus ravus,Lutjanidae Pristipomoides multidens,Lutjanidae Pristipomoides spp,Lutjanidae Pristipomoides typus,Monacanthidae Nelusetta ayraud,Monacanthidae Unknown sp1,Monacanthidae Unknown spp,Muraenidae Gymnothorax thyrsoideus,Muraenidae Gymnothorax woodwardi,Muraenidae Unknown spp,Nemipteridae Pentapodus spp,Nempiteridae Pentapodus nagasakiensis,Orectolobidae Orectolobus hutchinsi,Ostraciidae Tetrosomus reipublicae,Pempherididae Pempheris tominagai,Pinguipedidae Parapercis haackei,Pinguipedidae Parapercis nebulosa,Pinguipedidae Unknown spp,Pomacentridae Parma occidentalis,Rachycentridae Rachycentron canadum,Rhinidae Rhynchobatus australiae,Scombridae Scomberomorus spp,Serranidae Epinephelus areolatus,Serranidae Epinephelus morrhua,Siganidae Siganus argenteus,Siganidae Siganus punctatus,Sphyrnidae Sphyrna lewini,Tetraodontidae Lagocephalus sceleratus,Tetraodontidae Torquigener sp10,Tetraodontidae Unknown sp1,Triakidae Hemitriakis falcata,Triakidae Mustelus spp,Trygonorrhinidae Aptychotrema vincentiana,Urolophidae Unknown spp,Zanclidae Zanclus cornutus,,method,campaignid,latitude,longitude,status,depth,location,fov.limited,fov.open,fov.total.points.annotated,kelps,rock,macroalgae,sand,inverts,broad.ascidians,broad.bryozoa,broad.hydroids,broad.invertebrate.complex,broad.octocoral.black,broad.sponges,broad.total.points.annotated,mean.relief,sd.relief,z,slope,aspect,tpi,tri,roughness,detrended,lineartrend
npz6.19,0,0,0,0,4,0,0,0,0,0,3,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0463,113.5314,No-take,48.1,NPZ6,7,73,80,0,0.291139241,0.329113924,0.202531646,0.17721519,1,0,0,0,1,12,79,2.03125,0.25,-49,0.205600151,277.2392236,-0.625,1.125,5,-3.059532404,-45.94046783
npz6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0862,113.3863,No-take,92,NPZ6,5,75,80,0,0,0,0.051948052,0.948051948,0,1,2,19,7,44,77,2.887096774,1.132309966,-98,1.742302005,221.9886058,0,6,21,-7.828929901,-90.17106628
npz6.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0462,113.4413,No-take,51,NPZ6,6,74,80,0,0.772151899,0.088607595,0,0.139240506,0,0,0,0,0,11,79,2.231884058,1.214434358,-56,1.805263183,32.17133333,-0.125,6.625,20,-3.705504656,-52.29449463
npz6.21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0737,113.4014,No-take,57.4,NPZ6,7,73,80,0,0.071428571,0.014285714,0.914285714,0,0,0,0,0,0,0,70,0.893939394,0.682276458,-59,1.802975981,240.7639022,4.875,6.625,21,16.26791954,-75.26792145
npz6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.041,113.3362,No-take,151,NPZ6,0,80,80,0,0,0,1,0,0,0,0,0,0,0,77,0.044444444,0.208409077,-156,0.467858974,228.3560011,-0.75,1.75,6,-32.9077301,-123.0922699
npz6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0836,113.5114,No-take,49.3,NPZ6,5,55,60,0,0.728813559,0.101694915,0.033898305,0.13559322,0,0,0,0,0,8,59,1.06,0.239897937,-49,0.077995316,311.632807,0.25,0.25,2,-7.213280201,-41.78672028
npz6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0362,113.3815,No-take,70.6,NPZ6,7,73,80,0,0,0,0.225352113,0.774647887,0,0,0,50,0,5,71,1.305084746,0.676049307,-81,2.170923449,258.3001557,-2.125,7.375,23,1.266425133,-82.26642609
npz6.26,0,0,0,0,0,0,0,0,0,1,1,0,0,2,20,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0487,113.4414,No-take,42,NPZ6,5,75,80,0.15,0,0.8625,0.0125,0.125,0,0,0,0,0,10,80,3,0,-47,2.020371485,29.3504518,1,7.75,23,5.317101479,-52.31710052
npz6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0688,113.2892,No-take,186,NPZ6,0,80,80,0,0,0,1,0,0,0,0,0,0,0,80,0,0,-191,0.318881632,235.3386119,0.125,1.125,4,6.977612495,-197.9776154
npz6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0937,113.429,No-take,47.3,NPZ6,5,75,80,0,0.860759494,0.126582278,0.012658228,0,0,0,0,0,0,0,79,1.116666667,0.323731772,-46,0.496218862,87.00722173,-1.75,2.25,7,16.94347,-62.94347
npz6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0837,113.4589,No-take,43.1,NPZ6,7,73,80,0,0.061728395,0.086419753,0.851851852,0,0,0,0,0,0,0,81,0.923076923,0.268543078,-40,1.970388359,73.97741144,-4.75,6.75,20,8.793541908,-48.79354095
npz6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0914,113.3864,No-take,95.2,NPZ6,5,75,80,0,0,0,0.072727273,0.927272727,0,0,0,11,0,40,55,2.490196078,0.784156847,-107,1.718396538,255.1533849,-0.875,5.875,19,-15.18170834,-91.81829071
npz6.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0912,113.3989,No-take,87.9,NPZ6,5,75,80,0,0.64556962,0,0.341772152,0.012658228,0,0,0,1,0,0,79,1,0,-86,1.914611941,253.4971248,-0.75,6.5,27,-4.310569763,-81.68943024
npz6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0711,113.3938,No-take,81.9,NPZ6,6,74,80,0,0.7,0,0.3,0,0,0,0,0,0,0,80,1,0,-82,1.942531261,234.082493,-3,6.75,27,-1.947571158,-80.0524292
npz6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOSS,2021-05_Abrolhos_BOSS,-28.0963,113.3837,No-take,116,NPZ6,5,75,80,0,0,0,1,0,0,0,0,0,0,0,80,0,0,-118,1.043761471,236.905317,-0.75,3.25,14,-22.22844887,-95.77155304
