"","sample","scientific","campaignid","latitude","longitude","method","unique_id","number","response","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","broad.bryozoa","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","status","successful.length"
"11","1","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BRUVS",-22.696,113.5315,"BRUV","2021-05_PtCloates_BRUVS_1",0,"Pinguipedidae Parapercis nebulosa_BRUV",20210518,"inNP.1","Point Cloates",129,NA,0,0,5,1,11,0.433333333333333,30,2,0.794719414239026,0,126,124.10523223877,2.23228791748589,295.306561180768,0.934113502502441,7.98588466644287,27.0492706298828,3.23041462898254,-127.335647583008,0.566666666666667,NA,NA
"12","1","Pinguipedidae Parapercis nebulosa","2022-05_PtCloates_stereo-BRUVS",-22.7221,113.5447,"BRUV","2022-05_PtCloates_stereo-BRUVS_1",0,"Pinguipedidae Parapercis nebulosa_BRUV",20220522,NA,"Point Cloates",93.9,"Yes",0,1,0,1,0,0.923076923076923,26,0.1,0.307793505625546,0,171,87.7772445678711,0.980375717186356,282.484768533181,0.0275735855102539,3.46547603607178,10.6710586547852,10.2553787231445,-98.0326232910156,0.0769230769230769,NA,NA
"13","10","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BOSS",-22.6887,113.5238,"BOSS","2021-05_PtCloates_BOSS_10",0,"Lethrinidae Gymnocranius sp1_BOSS",20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,NA,NA
"14","10","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BRUVS",-22.6734,113.524,"BRUV","2021-05_PtCloates_BRUVS_10",0,"Lethrinidae Gymnocranius sp1_BRUV",20210518,"inNP.10","Point Cloates",197,"Yes",0,0,0,0,0,1,34,0,0,0,131,198.656372070312,1.49457756882804,290.051184703001,-1.02558135986328,5.32248687744141,18.0806732177734,-42.9300994873047,-155.726272583008,0,"No-take","Yes"
"15","10","Lethrinidae Gymnocranius sp1","2022-05_PtCloates_stereo-BRUVS",-22.7272,113.5424,"BRUV","2022-05_PtCloates_stereo-BRUVS_10",0,"Lethrinidae Gymnocranius sp1_BRUV",20220522,NA,"Point Cloates",94.7,"No",0,2,1,0,0,0.878787878787879,33,0.16,0.374165738677394,1,166,89.7222595214844,0.942083929609498,281.153743257078,0.06915283203125,3.34467506408691,9.915283203125,12.2315855026245,-101.953842163086,0.121212121212121,NA,NA
"16","10","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BOSS",-22.6887,113.5238,"BOSS","2021-05_PtCloates_BOSS_10",0,"Lethrinidae Lethrinus miniatus_BOSS",20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,NA,NA
"17","10","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BRUVS",-22.6734,113.524,"BRUV","2021-05_PtCloates_BRUVS_10",0,"Lethrinidae Lethrinus miniatus_BRUV",20210518,"inNP.10","Point Cloates",197,"Yes",0,0,0,0,0,1,34,0,0,0,131,198.656372070312,1.49457756882804,290.051184703001,-1.02558135986328,5.32248687744141,18.0806732177734,-42.9300994873047,-155.726272583008,0,"No-take","Yes"
"18","10","Lethrinidae Lethrinus miniatus","2022-05_PtCloates_stereo-BRUVS",-22.7272,113.5424,"BRUV","2022-05_PtCloates_stereo-BRUVS_10",0,"Lethrinidae Lethrinus miniatus_BRUV",20220522,NA,"Point Cloates",94.7,"No",0,2,1,0,0,0.878787878787879,33,0.16,0.374165738677394,1,166,89.7222595214844,0.942083929609498,281.153743257078,0.06915283203125,3.34467506408691,9.915283203125,12.2315855026245,-101.953842163086,0.121212121212121,NA,NA
"19","10","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BOSS",-22.6887,113.5238,"BOSS","2021-05_PtCloates_BOSS_10",0,"Nemipteridae Pentapodus nagasakiensis_BOSS",20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,NA,NA
"20","10","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BRUVS",-22.6734,113.524,"BRUV","2021-05_PtCloates_BRUVS_10",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20210518,"inNP.10","Point Cloates",197,"Yes",0,0,0,0,0,1,34,0,0,0,131,198.656372070312,1.49457756882804,290.051184703001,-1.02558135986328,5.32248687744141,18.0806732177734,-42.9300994873047,-155.726272583008,0,"No-take","Yes"
"21","10","Nemipteridae Pentapodus nagasakiensis","2022-05_PtCloates_stereo-BRUVS",-22.7272,113.5424,"BRUV","2022-05_PtCloates_stereo-BRUVS_10",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20220522,NA,"Point Cloates",94.7,"No",0,2,1,0,0,0.878787878787879,33,0.16,0.374165738677394,1,166,89.7222595214844,0.942083929609498,281.153743257078,0.06915283203125,3.34467506408691,9.915283203125,12.2315855026245,-101.953842163086,0.121212121212121,NA,NA
"22","10","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BOSS",-22.6887,113.5238,"BOSS","2021-05_PtCloates_BOSS_10",0,"Pinguipedidae Parapercis nebulosa_BOSS",20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,1,62,0,0,0,6,172.977447509766,2.65043696821996,295.104761091155,-0.261472702026367,9.46026420593262,32.2467803955078,-26.3060455322266,-146.671401977539,0,NA,NA
"23","10","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BRUVS",-22.6734,113.524,"BRUV","2021-05_PtCloates_BRUVS_10",0,"Pinguipedidae Parapercis nebulosa_BRUV",20210518,"inNP.10","Point Cloates",197,"Yes",0,0,0,0,0,1,34,0,0,0,131,198.656372070312,1.49457756882804,290.051184703001,-1.02558135986328,5.32248687744141,18.0806732177734,-42.9300994873047,-155.726272583008,0,"No-take","Yes"
"24","10","Pinguipedidae Parapercis nebulosa","2022-05_PtCloates_stereo-BRUVS",-22.7272,113.5424,"BRUV","2022-05_PtCloates_stereo-BRUVS_10",0,"Pinguipedidae Parapercis nebulosa_BRUV",20220522,NA,"Point Cloates",94.7,"No",0,2,1,0,0,0.878787878787879,33,0.16,0.374165738677394,1,166,89.7222595214844,0.942083929609498,281.153743257078,0.06915283203125,3.34467506408691,9.915283203125,12.2315855026245,-101.953842163086,0.121212121212121,NA,NA
"25","11","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BRUVS",-22.6761,113.5387,"BRUV","2021-05_PtCloates_BRUVS_11",0,"Lethrinidae Gymnocranius sp1_BRUV",20210518,"inNP.11","Point Cloates",139,"Yes",0,1,8,2,3,0.423076923076923,26,1.63157894736842,0.597264720370147,1,130,133.520614624023,2.50618992035892,289.365786435476,0.296189308166504,8.95210552215576,28.9575500488281,-12.6342725753784,-120.886344909668,0.576923076923077,"No-take","Yes"
"26","11","Lethrinidae Gymnocranius sp1","2022-05_PtCloates_stereo-BRUVS",-22.7274,113.5498,"BRUV","2022-05_PtCloates_stereo-BRUVS_11",6,"Lethrinidae Gymnocranius sp1_BRUV",20220522,NA,"Point Cloates",81,"Yes",0,0,1,0,0,0.970588235294118,34,0,0,0,165,78.1827392578125,0.692149036295704,280.549849765808,0.139246940612793,2.46212863922119,7.33889770507812,11.0950860977173,-89.2778244018555,0.0294117647058824,NA,NA
"27","11","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BRUVS",-22.6761,113.5387,"BRUV","2021-05_PtCloates_BRUVS_11",1,"Lethrinidae Lethrinus miniatus_BRUV",20210518,"inNP.11","Point Cloates",139,"Yes",0,1,8,2,3,0.423076923076923,26,1.63157894736842,0.597264720370147,1,130,133.520614624023,2.50618992035892,289.365786435476,0.296189308166504,8.95210552215576,28.9575500488281,-12.6342725753784,-120.886344909668,0.576923076923077,"No-take","Yes"
"28","11","Lethrinidae Lethrinus miniatus","2022-05_PtCloates_stereo-BRUVS",-22.7274,113.5498,"BRUV","2022-05_PtCloates_stereo-BRUVS_11",3,"Lethrinidae Lethrinus miniatus_BRUV",20220522,NA,"Point Cloates",81,"Yes",0,0,1,0,0,0.970588235294118,34,0,0,0,165,78.1827392578125,0.692149036295704,280.549849765808,0.139246940612793,2.46212863922119,7.33889770507812,11.0950860977173,-89.2778244018555,0.0294117647058824,NA,NA
"29","11","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BRUVS",-22.6761,113.5387,"BRUV","2021-05_PtCloates_BRUVS_11",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20210518,"inNP.11","Point Cloates",139,"Yes",0,1,8,2,3,0.423076923076923,26,1.63157894736842,0.597264720370147,1,130,133.520614624023,2.50618992035892,289.365786435476,0.296189308166504,8.95210552215576,28.9575500488281,-12.6342725753784,-120.886344909668,0.576923076923077,"No-take","Yes"
"30","11","Nemipteridae Pentapodus nagasakiensis","2022-05_PtCloates_stereo-BRUVS",-22.7274,113.5498,"BRUV","2022-05_PtCloates_stereo-BRUVS_11",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20220522,NA,"Point Cloates",81,"Yes",0,0,1,0,0,0.970588235294118,34,0,0,0,165,78.1827392578125,0.692149036295704,280.549849765808,0.139246940612793,2.46212863922119,7.33889770507812,11.0950860977173,-89.2778244018555,0.0294117647058824,NA,NA
"31","11","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BRUVS",-22.6761,113.5387,"BRUV","2021-05_PtCloates_BRUVS_11",0,"Pinguipedidae Parapercis nebulosa_BRUV",20210518,"inNP.11","Point Cloates",139,"Yes",0,1,8,2,3,0.423076923076923,26,1.63157894736842,0.597264720370147,1,130,133.520614624023,2.50618992035892,289.365786435476,0.296189308166504,8.95210552215576,28.9575500488281,-12.6342725753784,-120.886344909668,0.576923076923077,"No-take","Yes"
"32","11","Pinguipedidae Parapercis nebulosa","2022-05_PtCloates_stereo-BRUVS",-22.7274,113.5498,"BRUV","2022-05_PtCloates_stereo-BRUVS_11",0,"Pinguipedidae Parapercis nebulosa_BRUV",20220522,NA,"Point Cloates",81,"Yes",0,0,1,0,0,0.970588235294118,34,0,0,0,165,78.1827392578125,0.692149036295704,280.549849765808,0.139246940612793,2.46212863922119,7.33889770507812,11.0950860977173,-89.2778244018555,0.0294117647058824,NA,NA
"33","12","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BOSS",-22.7137,113.5364,"BOSS","2021-05_PtCloates_BOSS_12",0,"Lethrinidae Gymnocranius sp1_BOSS",20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,NA,NA
"34","12","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BRUVS",-22.7262,113.5214,"BRUV","2021-05_PtCloates_BRUVS_12",4,"Lethrinidae Gymnocranius sp1_BRUV",20210518,"inNP.12","Point Cloates",126,"Yes",0,3,3,1,4,0.607142857142857,28,0.944444444444444,0.53930480546961,0,120,116.889801025391,1.58768763679858,296.55019167471,1.19442558288574,5.67023658752441,19.4762268066406,22.1737327575684,-139.063537597656,0.392857142857143,"No-take","Yes"
"35","12","Lethrinidae Gymnocranius sp1","2022-05_PtCloates_stereo-BRUVS",-22.7505,113.5476,"BRUV","2022-05_PtCloates_stereo-BRUVS_12",1,"Lethrinidae Gymnocranius sp1_BRUV",20220520,NA,"Point Cloates",80.5,"Yes",0,0,1,0,2,0.885714285714286,35,0.3,0.470162345981627,1,149,75.0668716430664,0.558466322898045,288.612021114612,-0.0859193801879883,2.01473522186279,7.19339752197266,18.4341621398926,-93.5010375976562,0.114285714285714,NA,NA
"36","12","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BOSS",-22.7137,113.5364,"BOSS","2021-05_PtCloates_BOSS_12",0,"Lethrinidae Lethrinus miniatus_BOSS",20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,NA,NA
"37","12","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BRUVS",-22.7262,113.5214,"BRUV","2021-05_PtCloates_BRUVS_12",3,"Lethrinidae Lethrinus miniatus_BRUV",20210518,"inNP.12","Point Cloates",126,"Yes",0,3,3,1,4,0.607142857142857,28,0.944444444444444,0.53930480546961,0,120,116.889801025391,1.58768763679858,296.55019167471,1.19442558288574,5.67023658752441,19.4762268066406,22.1737327575684,-139.063537597656,0.392857142857143,"No-take","Yes"
"38","12","Lethrinidae Lethrinus miniatus","2022-05_PtCloates_stereo-BRUVS",-22.7505,113.5476,"BRUV","2022-05_PtCloates_stereo-BRUVS_12",0,"Lethrinidae Lethrinus miniatus_BRUV",20220520,NA,"Point Cloates",80.5,"Yes",0,0,1,0,2,0.885714285714286,35,0.3,0.470162345981627,1,149,75.0668716430664,0.558466322898045,288.612021114612,-0.0859193801879883,2.01473522186279,7.19339752197266,18.4341621398926,-93.5010375976562,0.114285714285714,NA,NA
"39","12","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BOSS",-22.7137,113.5364,"BOSS","2021-05_PtCloates_BOSS_12",0,"Nemipteridae Pentapodus nagasakiensis_BOSS",20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,NA,NA
"40","12","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BRUVS",-22.7262,113.5214,"BRUV","2021-05_PtCloates_BRUVS_12",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20210518,"inNP.12","Point Cloates",126,"Yes",0,3,3,1,4,0.607142857142857,28,0.944444444444444,0.53930480546961,0,120,116.889801025391,1.58768763679858,296.55019167471,1.19442558288574,5.67023658752441,19.4762268066406,22.1737327575684,-139.063537597656,0.392857142857143,"No-take","Yes"
"41","12","Nemipteridae Pentapodus nagasakiensis","2022-05_PtCloates_stereo-BRUVS",-22.7505,113.5476,"BRUV","2022-05_PtCloates_stereo-BRUVS_12",8,"Nemipteridae Pentapodus nagasakiensis_BRUV",20220520,NA,"Point Cloates",80.5,"Yes",0,0,1,0,2,0.885714285714286,35,0.3,0.470162345981627,1,149,75.0668716430664,0.558466322898045,288.612021114612,-0.0859193801879883,2.01473522186279,7.19339752197266,18.4341621398926,-93.5010375976562,0.114285714285714,NA,NA
"42","12","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BOSS",-22.7137,113.5364,"BOSS","2021-05_PtCloates_BOSS_12",1,"Pinguipedidae Parapercis nebulosa_BOSS",20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,0.53448275862069,58,0.975,0.35716117169158,0,7,104.105476379395,0.368889914573657,259.17996173138,-1.25739288330078,1.59708213806152,5.55146789550781,8.51981449127197,-112.625289916992,0.46551724137931,NA,NA
"43","12","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BRUVS",-22.7262,113.5214,"BRUV","2021-05_PtCloates_BRUVS_12",1,"Pinguipedidae Parapercis nebulosa_BRUV",20210518,"inNP.12","Point Cloates",126,"Yes",0,3,3,1,4,0.607142857142857,28,0.944444444444444,0.53930480546961,0,120,116.889801025391,1.58768763679858,296.55019167471,1.19442558288574,5.67023658752441,19.4762268066406,22.1737327575684,-139.063537597656,0.392857142857143,"No-take","Yes"
"44","12","Pinguipedidae Parapercis nebulosa","2022-05_PtCloates_stereo-BRUVS",-22.7505,113.5476,"BRUV","2022-05_PtCloates_stereo-BRUVS_12",1,"Pinguipedidae Parapercis nebulosa_BRUV",20220520,NA,"Point Cloates",80.5,"Yes",0,0,1,0,2,0.885714285714286,35,0.3,0.470162345981627,1,149,75.0668716430664,0.558466322898045,288.612021114612,-0.0859193801879883,2.01473522186279,7.19339752197266,18.4341621398926,-93.5010375976562,0.114285714285714,NA,NA
"45","13","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BOSS",-22.7037,113.5389,"BOSS","2021-05_PtCloates_BOSS_13",0,"Lethrinidae Gymnocranius sp1_BOSS",20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,NA,NA
"46","13","Lethrinidae Gymnocranius sp1","2021-05_PtCloates_BRUVS",-22.7963,113.5041,"BRUV","2021-05_PtCloates_BRUVS_13",0,"Lethrinidae Gymnocranius sp1_BRUV",20210518,"outNP.1","Point Cloates",116,"Yes",0,1,6,6,4,0.375,32,1.45,0.825577947481897,3,119,100.592895507812,0.675892911401734,302.673128180718,-0.206822395324707,2.35827922821045,8.79016876220703,55.18017578125,-155.773071289062,0.625,"Fished","Yes"
"47","13","Lethrinidae Gymnocranius sp1","2022-05_PtCloates_stereo-BRUVS",-22.6872,113.5606,"BRUV","2022-05_PtCloates_stereo-BRUVS_13",4,"Lethrinidae Gymnocranius sp1_BRUV",20220526,NA,"Point Cloates",82.1,"Yes",0,0,0,0,4,0.851851851851852,27,0.3,0.656946685331786,0,201,82.351676940918,0.953738383648023,298.571897251076,0.309229850769043,3.38169384002686,11.7116546630859,-9.50237274169922,-72.8493041992188,0.148148148148148,NA,NA
"48","13","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BOSS",-22.7037,113.5389,"BOSS","2021-05_PtCloates_BOSS_13",0,"Lethrinidae Lethrinus miniatus_BOSS",20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,NA,NA
"49","13","Lethrinidae Lethrinus miniatus","2021-05_PtCloates_BRUVS",-22.7963,113.5041,"BRUV","2021-05_PtCloates_BRUVS_13",3,"Lethrinidae Lethrinus miniatus_BRUV",20210518,"outNP.1","Point Cloates",116,"Yes",0,1,6,6,4,0.375,32,1.45,0.825577947481897,3,119,100.592895507812,0.675892911401734,302.673128180718,-0.206822395324707,2.35827922821045,8.79016876220703,55.18017578125,-155.773071289062,0.625,"Fished","Yes"
"50","13","Lethrinidae Lethrinus miniatus","2022-05_PtCloates_stereo-BRUVS",-22.6872,113.5606,"BRUV","2022-05_PtCloates_stereo-BRUVS_13",0,"Lethrinidae Lethrinus miniatus_BRUV",20220526,NA,"Point Cloates",82.1,"Yes",0,0,0,0,4,0.851851851851852,27,0.3,0.656946685331786,0,201,82.351676940918,0.953738383648023,298.571897251076,0.309229850769043,3.38169384002686,11.7116546630859,-9.50237274169922,-72.8493041992188,0.148148148148148,NA,NA
"51","13","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BOSS",-22.7037,113.5389,"BOSS","2021-05_PtCloates_BOSS_13",0,"Nemipteridae Pentapodus nagasakiensis_BOSS",20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,NA,NA
"52","13","Nemipteridae Pentapodus nagasakiensis","2021-05_PtCloates_BRUVS",-22.7963,113.5041,"BRUV","2021-05_PtCloates_BRUVS_13",2,"Nemipteridae Pentapodus nagasakiensis_BRUV",20210518,"outNP.1","Point Cloates",116,"Yes",0,1,6,6,4,0.375,32,1.45,0.825577947481897,3,119,100.592895507812,0.675892911401734,302.673128180718,-0.206822395324707,2.35827922821045,8.79016876220703,55.18017578125,-155.773071289062,0.625,"Fished","Yes"
"53","13","Nemipteridae Pentapodus nagasakiensis","2022-05_PtCloates_stereo-BRUVS",-22.6872,113.5606,"BRUV","2022-05_PtCloates_stereo-BRUVS_13",0,"Nemipteridae Pentapodus nagasakiensis_BRUV",20220526,NA,"Point Cloates",82.1,"Yes",0,0,0,0,4,0.851851851851852,27,0.3,0.656946685331786,0,201,82.351676940918,0.953738383648023,298.571897251076,0.309229850769043,3.38169384002686,11.7116546630859,-9.50237274169922,-72.8493041992188,0.148148148148148,NA,NA
"54","13","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BOSS",-22.7037,113.5389,"BOSS","2021-05_PtCloates_BOSS_13",1,"Pinguipedidae Parapercis nebulosa_BOSS",20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,0.655172413793103,58,0.775,0.53048115556564,0,8,102.062187194824,0.284040969191296,293.04871430008,0.228021621704102,1.29561233520508,4.58540344238281,7.97709989547729,-110.039283752441,0.344827586206897,NA,NA
"55","13","Pinguipedidae Parapercis nebulosa","2021-05_PtCloates_BRUVS",-22.7963,113.5041,"BRUV","2021-05_PtCloates_BRUVS_13",3,"Pinguipedidae Parapercis nebulosa_BRUV",20210518,"outNP.1","Point Cloates",116,"Yes",0,1,6,6,4,0.375,32,1.45,0.825577947481897,3,119,100.592895507812,0.675892911401734,302.673128180718,-0.206822395324707,2.35827922821045,8.79016876220703,55.18017578125,-155.773071289062,0.625,"Fished","Yes"
"56","13","Pinguipedidae Parapercis nebulosa","2022-05_PtCloates_stereo-BRUVS",-22.6872,113.5606,"BRUV","2022-05_PtCloates_stereo-BRUVS_13",0,"Pinguipedidae Parapercis nebulosa_BRUV",20220526,NA,"Point Cloates",82.1,"Yes",0,0,0,0,4,0.851851851851852,27,0.3,0.656946685331786,0,201,82.351676940918,0.953738383648023,298.571897251076,0.309229850769043,3.38169384002686,11.7116546630859,-9.50237274169922,-72.8493041992188,0.148148148148148,NA,NA
