"","unique_id","sample","method","response","number","latitude","longitude","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","campaignid","broad.bryozoa","id","z","slope","aspect","tpi","tri","roughness","detrended","lineartrend","inverts","status"
"11","2021-05_PtCloates_BOSS_18","18","BOSS","total.abundance",5,-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,0.444444444444444,54,1.30769230769231,1.02991686312016,"2021-05_PtCloates_BOSS",0,10,98.5445938110352,0.1976801885882,251.829307225347,1.81786918640137,1.81786918640137,3.34256744384766,-1.61400711536407,-96.9305877685547,0.555555555555556,"No-take"
"12","2021-05_PtCloates_BOSS_18","18","BOSS","species.richness",3,-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,0.444444444444444,54,1.30769230769231,1.02991686312016,"2021-05_PtCloates_BOSS",0,10,98.5445938110352,0.1976801885882,251.829307225347,1.81786918640137,1.81786918640137,3.34256744384766,-1.61400711536407,-96.9305877685547,0.555555555555556,"No-take"
"13","2021-05_PtCloates_BOSS_19","19","BOSS","total.abundance",2,-22.7314,113.5313,20210520,"inNP.19","Point Cloates",106,"Yes",0,2,4,5,13,0.538461538461538,52,0.945945945945946,0.704980139434436,"2021-05_PtCloates_BOSS",0,11,106.969993591309,0.883929779737673,283.343247902757,-1.34211349487305,3.18802261352539,10.0984115600586,12.2413501739502,-119.21134185791,0.461538461538462,"No-take"
"14","2021-05_PtCloates_BOSS_19","19","BOSS","species.richness",2,-22.7314,113.5313,20210520,"inNP.19","Point Cloates",106,"Yes",0,2,4,5,13,0.538461538461538,52,0.945945945945946,0.704980139434436,"2021-05_PtCloates_BOSS",0,11,106.969993591309,0.883929779737673,283.343247902757,-1.34211349487305,3.18802261352539,10.0984115600586,12.2413501739502,-119.21134185791,0.461538461538462,"No-take"
"15","2021-05_PtCloates_BOSS_2","2","BOSS","total.abundance",0,-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,0.98,50,0.333333333333333,0.479463301485384,"2021-05_PtCloates_BOSS",0,2,161.940063476562,2.74160349280455,294.124156636904,-0.207582473754883,9.75778007507324,33.1934509277344,-14.435076713562,-147.504989624023,0.02,"No-take"
"16","2021-05_PtCloates_BOSS_2","2","BOSS","species.richness",0,-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,0.98,50,0.333333333333333,0.479463301485384,"2021-05_PtCloates_BOSS",0,2,161.940063476562,2.74160349280455,294.124156636904,-0.207582473754883,9.75778007507324,33.1934509277344,-14.435076713562,-147.504989624023,0.02,"No-take"
"17","2021-05_PtCloates_BOSS_20","20","BOSS","total.abundance",1,-22.7187,113.5265,20210520,"inNP.20","Point Cloates",120,"Yes",0,0,2,7,9,0.666666666666667,54,1,0.338061701891407,"2021-05_PtCloates_BOSS",0,12,113.715576171875,1.4078179464446,283.658613856092,0.810181617736816,4.9209680557251,14.9092636108398,17.1327209472656,-130.848297119141,0.333333333333333,"No-take"
"18","2021-05_PtCloates_BOSS_20","20","BOSS","species.richness",1,-22.7187,113.5265,20210520,"inNP.20","Point Cloates",120,"Yes",0,0,2,7,9,0.666666666666667,54,1,0.338061701891407,"2021-05_PtCloates_BOSS",0,12,113.715576171875,1.4078179464446,283.658613856092,0.810181617736816,4.9209680557251,14.9092636108398,17.1327209472656,-130.848297119141,0.333333333333333,"No-take"
"19","2021-05_PtCloates_BOSS_21","21","BOSS","total.abundance",30,-22.6963,113.544,20210520,"inNP.21","Point Cloates",103,"Yes",0,0,0,7,7,0.745454545454545,55,0.782608695652174,0.629392775379955,"2021-05_PtCloates_BOSS",0,13,104.231864929199,0.216438067011755,274.886291950882,-3.12189102172852,3.12189102172852,7.22618865966797,-1.80400061607361,-102.427864074707,0.254545454545455,"No-take"
"20","2021-05_PtCloates_BOSS_21","21","BOSS","species.richness",8,-22.6963,113.544,20210520,"inNP.21","Point Cloates",103,"Yes",0,0,0,7,7,0.745454545454545,55,0.782608695652174,0.629392775379955,"2021-05_PtCloates_BOSS",0,13,104.231864929199,0.216438067011755,274.886291950882,-3.12189102172852,3.12189102172852,7.22618865966797,-1.80400061607361,-102.427864074707,0.254545454545455,"No-take"
"21","2021-05_PtCloates_BOSS_22","22","BOSS","total.abundance",160,-22.7438,113.5337,20210520,"inNP.22","Point Cloates",96.4,"Yes",0,0,1,2,0,0.948275862068966,58,0.184210526315789,0.392859452063192,"2021-05_PtCloates_BOSS",0,14,89.8842697143555,0.711424147277355,283.206844952193,0.297828674316406,2.52764701843262,7.68619537353516,23.751537322998,-113.635810852051,0.0517241379310345,"No-take"
"22","2021-05_PtCloates_BOSS_22","22","BOSS","species.richness",3,-22.7438,113.5337,20210520,"inNP.22","Point Cloates",96.4,"Yes",0,0,1,2,0,0.948275862068966,58,0.184210526315789,0.392859452063192,"2021-05_PtCloates_BOSS",0,14,89.8842697143555,0.711424147277355,283.206844952193,0.297828674316406,2.52764701843262,7.68619537353516,23.751537322998,-113.635810852051,0.0517241379310345,"No-take"
"23","2021-05_PtCloates_BOSS_24","24","BOSS","total.abundance",0,-22.7113,113.5088,20210520,"inNP.24","Point Cloates",189,"Yes",0,0,0,0,0,1,53,0.025,0.158113883008419,"2021-05_PtCloates_BOSS",0,15,190.324234008789,2.25038626504205,292.490141877549,-0.515800476074219,8.05286407470703,26.8728637695312,-20.4864635467529,-169.837768554688,0,"No-take"
"24","2021-05_PtCloates_BOSS_24","24","BOSS","species.richness",0,-22.7113,113.5088,20210520,"inNP.24","Point Cloates",189,"Yes",0,0,0,0,0,1,53,0.025,0.158113883008419,"2021-05_PtCloates_BOSS",0,15,190.324234008789,2.25038626504205,292.490141877549,-0.515800476074219,8.05286407470703,26.8728637695312,-20.4864635467529,-169.837768554688,0,"No-take"
"25","2021-05_PtCloates_BOSS_25","25","BOSS","total.abundance",4,-22.7262,113.4913,20210520,"outNP.1","Point Cloates",208,"Yes",0,0,0,0,0,1,57,0,0,"2021-05_PtCloates_BOSS",0,16,219.026809692383,1.0222560416352,292.360674319497,-0.237630844116211,3.6277027130127,12.4813995361328,-15.5685501098633,-203.458251953125,0,"Fished"
"26","2021-05_PtCloates_BOSS_25","25","BOSS","species.richness",4,-22.7262,113.4913,20210520,"outNP.1","Point Cloates",208,"Yes",0,0,0,0,0,1,57,0,0,"2021-05_PtCloates_BOSS",0,16,219.026809692383,1.0222560416352,292.360674319497,-0.237630844116211,3.6277027130127,12.4813995361328,-15.5685501098633,-203.458251953125,0,"Fished"
"27","2021-05_PtCloates_BOSS_26","26","BOSS","total.abundance",0,-22.7388,113.5089,20210520,"outNP.2","Point Cloates",152,"Yes",0,0,1,1,3,0.895833333333333,48,0.236842105263158,0.489578446703416,"2021-05_PtCloates_BOSS",0,17,152.402069091797,1.85928073144529,291.657955304114,-1.20339965820312,6.7024040222168,22.0763244628906,8.90308380126953,-161.305145263672,0.104166666666667,"Fished"
"28","2021-05_PtCloates_BOSS_26","26","BOSS","species.richness",0,-22.7388,113.5089,20210520,"outNP.2","Point Cloates",152,"Yes",0,0,1,1,3,0.895833333333333,48,0.236842105263158,0.489578446703416,"2021-05_PtCloates_BOSS",0,17,152.402069091797,1.85928073144529,291.657955304114,-1.20339965820312,6.7024040222168,22.0763244628906,8.90308380126953,-161.305145263672,0.104166666666667,"Fished"
"29","2021-05_PtCloates_BOSS_27","27","BOSS","total.abundance",0,-22.7635,113.4964,20210519,"outNP.3","Point Cloates",162,"Yes",0,0,0,0,0,1,60,0,0,"2021-05_PtCloates_BOSS",0,18,139.129287719727,1.55863770312686,294.603048816473,1.22396469116211,5.54883193969727,19.2839965820312,40.8676872253418,-179.996978759766,0,"Fished"
"30","2021-05_PtCloates_BOSS_27","27","BOSS","species.richness",0,-22.7635,113.4964,20210519,"outNP.3","Point Cloates",162,"Yes",0,0,0,0,0,1,60,0,0,"2021-05_PtCloates_BOSS",0,18,139.129287719727,1.55863770312686,294.603048816473,1.22396469116211,5.54883193969727,19.2839965820312,40.8676872253418,-179.996978759766,0,"Fished"
"31","2021-05_PtCloates_BOSS_28","28","BOSS","total.abundance",1,-22.7585,113.4762,20210519,"outNP.4","Point Cloates",206,"Yes",0,0,0,0,0,1,43,0,0,"2021-05_PtCloates_BOSS",0,19,219.274887084961,1.82736186270337,294.958454582396,-0.783740997314453,6.53219604492188,22.3439331054688,5.3753228187561,-224.650207519531,0,"Fished"
"32","2021-05_PtCloates_BOSS_28","28","BOSS","species.richness",1,-22.7585,113.4762,20210519,"outNP.4","Point Cloates",206,"Yes",0,0,0,0,0,1,43,0,0,"2021-05_PtCloates_BOSS",0,19,219.274887084961,1.82736186270337,294.958454582396,-0.783740997314453,6.53219604492188,22.3439331054688,5.3753228187561,-224.650207519531,0,"Fished"
"33","2021-05_PtCloates_BOSS_29","29","BOSS","total.abundance",3,-22.7758,113.494,20210519,"outNP.5","Point Cloates",152,"Yes",0,0,1,1,5,0.867924528301887,53,0.583333333333333,0.554204706893452,"2021-05_PtCloates_BOSS",0,20,131.818206787109,1.00257284139827,289.704780968301,0.620437622070312,3.55547714233398,12.4027404785156,49.1793670654297,-180.997573852539,0.132075471698113,"Fished"
"34","2021-05_PtCloates_BOSS_29","29","BOSS","species.richness",2,-22.7758,113.494,20210519,"outNP.5","Point Cloates",152,"Yes",0,0,1,1,5,0.867924528301887,53,0.583333333333333,0.554204706893452,"2021-05_PtCloates_BOSS",0,20,131.818206787109,1.00257284139827,289.704780968301,0.620437622070312,3.55547714233398,12.4027404785156,49.1793670654297,-180.997573852539,0.132075471698113,"Fished"
"35","2021-05_PtCloates_BOSS_30","30","BOSS","total.abundance",0,-22.7887,113.4839,20210519,"outNP.6","Point Cloates",169,"Yes",0,1,2,0,0,0.943396226415094,53,0.0571428571428571,0.235504107976803,"2021-05_PtCloates_BOSS",0,21,140.957473754883,0.845807787732315,310.190375376739,0.864374160766602,3.0188159942627,11.0871276855469,55.0681381225586,-196.025619506836,0.0566037735849057,"Fished"
"36","2021-05_PtCloates_BOSS_30","30","BOSS","species.richness",0,-22.7887,113.4839,20210519,"outNP.6","Point Cloates",169,"Yes",0,1,2,0,0,0.943396226415094,53,0.0571428571428571,0.235504107976803,"2021-05_PtCloates_BOSS",0,21,140.957473754883,0.845807787732315,310.190375376739,0.864374160766602,3.0188159942627,11.0871276855469,55.0681381225586,-196.025619506836,0.0566037735849057,"Fished"
"37","2021-05_PtCloates_BOSS_31","31","BOSS","total.abundance",4,-22.7936,113.5041,20210519,"outNP.7","Point Cloates",116,"Yes",0,0,3,4,11,0.617021276595745,47,1.25,0.493548116792825,"2021-05_PtCloates_BOSS",0,22,102.314041137695,0.655775101947455,299.56555119846,-0.306170463562012,2.24008655548096,8.58426666259766,54.2973861694336,-156.611434936523,0.382978723404255,"Fished"
"38","2021-05_PtCloates_BOSS_31","31","BOSS","species.richness",4,-22.7936,113.5041,20210519,"outNP.7","Point Cloates",116,"Yes",0,0,3,4,11,0.617021276595745,47,1.25,0.493548116792825,"2021-05_PtCloates_BOSS",0,22,102.314041137695,0.655775101947455,299.56555119846,-0.306170463562012,2.24008655548096,8.58426666259766,54.2973861694336,-156.611434936523,0.382978723404255,"Fished"
"39","2021-05_PtCloates_BOSS_32","32","BOSS","total.abundance",0,-22.7537,113.4863,20210519,"outNP.8","Point Cloates",194,"Yes",0,0,0,0,0,1,35,0,0,"2021-05_PtCloates_BOSS",0,23,193.968963623047,2.31579318026673,297.605374818671,-0.300344467163086,8.18643760681152,28.6856079101562,10.4092302322388,-204.378189086914,0,"Fished"
"40","2021-05_PtCloates_BOSS_32","32","BOSS","species.richness",0,-22.7537,113.4863,20210519,"outNP.8","Point Cloates",194,"Yes",0,0,0,0,0,1,35,0,0,"2021-05_PtCloates_BOSS",0,23,193.968963623047,2.31579318026673,297.605374818671,-0.300344467163086,8.18643760681152,28.6856079101562,10.4092302322388,-204.378189086914,0,"Fished"
"41","2021-05_PtCloates_BOSS_33","33","BOSS","total.abundance",3,-22.7163,113.4963,20210520,"outNP.9","Point Cloates",207,"Yes",0,0,0,0,0,1,48,0,0,"2021-05_PtCloates_BOSS",0,24,217.772064208984,1.00205153037954,290.253391139043,-0.251298904418945,3.54981803894043,12.0262451171875,-21.6659469604492,-196.10612487793,0,"Fished"
"42","2021-05_PtCloates_BOSS_33","33","BOSS","species.richness",2,-22.7163,113.4963,20210520,"outNP.9","Point Cloates",207,"Yes",0,0,0,0,0,1,48,0,0,"2021-05_PtCloates_BOSS",0,24,217.772064208984,1.00205153037954,290.253391139043,-0.251298904418945,3.54981803894043,12.0262451171875,-21.6659469604492,-196.10612487793,0,"Fished"
"43","2021-05_PtCloates_BOSS_34","34","BOSS","total.abundance",1,-22.7662,113.4889,20210519,"outNP.10","Point Cloates",179,"Yes",0,0,2,2,1,0.895833333333333,48,0.1,0.3038218101251,"2021-05_PtCloates_BOSS",0,25,158.00666809082,2.0945715665506,299.660510275747,0.257875442504883,7.40457725524902,26.1784057617188,36.5768165588379,-194.583480834961,0.104166666666667,"Fished"
"44","2021-05_PtCloates_BOSS_34","34","BOSS","species.richness",1,-22.7662,113.4889,20210519,"outNP.10","Point Cloates",179,"Yes",0,0,2,2,1,0.895833333333333,48,0.1,0.3038218101251,"2021-05_PtCloates_BOSS",0,25,158.00666809082,2.0945715665506,299.660510275747,0.257875442504883,7.40457725524902,26.1784057617188,36.5768165588379,-194.583480834961,0.104166666666667,"Fished"
"45","2021-05_PtCloates_BOSS_36","36","BOSS","total.abundance",0,-22.7564,113.4711,20210519,"outNP.12","Point Cloates",215,"Yes",0,0,0,0,0,1,32,0,0,"2021-05_PtCloates_BOSS",0,26,232.141204833984,0.880275491029078,289.60098703827,-0.239295959472656,3.16380310058594,10.6974182128906,5.03656005859375,-237.177764892578,0,"Fished"
"46","2021-05_PtCloates_BOSS_36","36","BOSS","species.richness",0,-22.7564,113.4711,20210519,"outNP.12","Point Cloates",215,"Yes",0,0,0,0,0,1,32,0,0,"2021-05_PtCloates_BOSS",0,26,232.141204833984,0.880275491029078,289.60098703827,-0.239295959472656,3.16380310058594,10.6974182128906,5.03656005859375,-237.177764892578,0,"Fished"
"47","2021-05_PtCloates_BOSS_37","37","BOSS","total.abundance",0,-22.7836,113.4886,20210519,"outNP.13","Point Cloates",156,"Yes",0,0,0,0,0,1,49,0.0588235294117647,0.238832573610613,"2021-05_PtCloates_BOSS",0,27,135.751846313477,0.472102674364555,264.546645108568,2.3707332611084,3.15069007873535,9.46940612792969,52.390251159668,-188.142105102539,0,"Fished"
"48","2021-05_PtCloates_BOSS_37","37","BOSS","species.richness",0,-22.7836,113.4886,20210519,"outNP.13","Point Cloates",156,"Yes",0,0,0,0,0,1,49,0.0588235294117647,0.238832573610613,"2021-05_PtCloates_BOSS",0,27,135.751846313477,0.472102674364555,264.546645108568,2.3707332611084,3.15069007873535,9.46940612792969,52.390251159668,-188.142105102539,0,"Fished"
"49","2021-05_PtCloates_BOSS_39","39","BOSS","total.abundance",0,-22.7938,113.4843,20210519,"outNP.15","Point Cloates",156,"Yes",0,1,1,2,2,0.884615384615385,52,0.354838709677419,0.48637345711392,"2021-05_PtCloates_BOSS",0,28,132.629302978516,1.15036660029701,309.406297552245,2.44379234313965,5.10973930358887,16.2569122314453,61.1626205444336,-193.791931152344,0.115384615384615,"Fished"
"50","2021-05_PtCloates_BOSS_39","39","BOSS","species.richness",0,-22.7938,113.4843,20210519,"outNP.15","Point Cloates",156,"Yes",0,1,1,2,2,0.884615384615385,52,0.354838709677419,0.48637345711392,"2021-05_PtCloates_BOSS",0,28,132.629302978516,1.15036660029701,309.406297552245,2.44379234313965,5.10973930358887,16.2569122314453,61.1626205444336,-193.791931152344,0.115384615384615,"Fished"
"51","2021-05_PtCloates_BOSS_4","4","BOSS","total.abundance",1,-22.7113,113.5415,20210520,"inNP.4","Point Cloates",100,"Yes",0,0,0,2,2,0.935483870967742,62,0.414634146341463,0.546608166610121,"2021-05_PtCloates_BOSS",0,3,97.0463638305664,1.24957117273754,285.530650365929,-0.139700889587402,4.5192289352417,13.2726287841797,6.72569894790649,-103.772064208984,0.0645161290322581,"No-take"
"52","2021-05_PtCloates_BOSS_4","4","BOSS","species.richness",1,-22.7113,113.5415,20210520,"inNP.4","Point Cloates",100,"Yes",0,0,0,2,2,0.935483870967742,62,0.414634146341463,0.546608166610121,"2021-05_PtCloates_BOSS",0,3,97.0463638305664,1.24957117273754,285.530650365929,-0.139700889587402,4.5192289352417,13.2726287841797,6.72569894790649,-103.772064208984,0.0645161290322581,"No-take"
"53","2021-05_PtCloates_BOSS_40","40","BOSS","total.abundance",2,-22.7809,113.4964,20210519,"outNP.16","Point Cloates",138,"Yes",0,1,2,0,5,0.843137254901961,51,0.594594594594595,0.643750273331526,"2021-05_PtCloates_BOSS",0,29,121.165657043457,1.5454383878752,292.509747952586,2.28282928466797,5.74299430847168,16.7619247436523,53.297794342041,-174.463455200195,0.156862745098039,"Fished"
"54","2021-05_PtCloates_BOSS_40","40","BOSS","species.richness",1,-22.7809,113.4964,20210519,"outNP.16","Point Cloates",138,"Yes",0,1,2,0,5,0.843137254901961,51,0.594594594594595,0.643750273331526,"2021-05_PtCloates_BOSS",0,29,121.165657043457,1.5454383878752,292.509747952586,2.28282928466797,5.74299430847168,16.7619247436523,53.297794342041,-174.463455200195,0.156862745098039,"Fished"
"55","2021-05_PtCloates_BOSS_42","42","BOSS","total.abundance",0,-22.7887,113.4764,20210519,"outNP.18","Point Cloates",184,"Yes",0,0,0,0,0,1,47,0.025,0.158113883008419,"2021-05_PtCloates_BOSS",0,30,154.185516357422,1.83752011000739,302.070290496111,1.31017112731934,6.32818031311035,22.9294281005859,57.1457633972168,-211.331283569336,0,"Fished"
"56","2021-05_PtCloates_BOSS_42","42","BOSS","species.richness",0,-22.7887,113.4764,20210519,"outNP.18","Point Cloates",184,"Yes",0,0,0,0,0,1,47,0.025,0.158113883008419,"2021-05_PtCloates_BOSS",0,30,154.185516357422,1.83752011000739,302.070290496111,1.31017112731934,6.32818031311035,22.9294281005859,57.1457633972168,-211.331283569336,0,"Fished"
"57","2021-05_PtCloates_BOSS_43","43","BOSS","total.abundance",0,-22.7587,113.4991,20210519,"outNP.19","Point Cloates",160,"Yes",0,0,0,0,0,1,60,0,0,"2021-05_PtCloates_BOSS",0,31,141.003021240234,1.6174531521841,298.273256171516,0.0456924438476562,5.76981353759766,20.4479522705078,35.4046745300293,-176.407699584961,0,"Fished"
"58","2021-05_PtCloates_BOSS_43","43","BOSS","species.richness",0,-22.7587,113.4991,20210519,"outNP.19","Point Cloates",160,"Yes",0,0,0,0,0,1,60,0,0,"2021-05_PtCloates_BOSS",0,31,141.003021240234,1.6174531521841,298.273256171516,0.0456924438476562,5.76981353759766,20.4479522705078,35.4046745300293,-176.407699584961,0,"Fished"
"59","2021-05_PtCloates_BOSS_44","44","BOSS","total.abundance",0,-22.7912,113.5064,20210519,"outNP.20","Point Cloates",114,"Yes",0,0,6,4,14,0.510204081632653,49,1.08571428571429,0.445330582523918,"2021-05_PtCloates_BOSS",0,32,101.214881896973,0.583269195832612,281.467028943584,-0.873313903808594,2.20547676086426,6.37101745605469,51.8502960205078,-153.065170288086,0.489795918367347,"Fished"
"60","2021-05_PtCloates_BOSS_44","44","BOSS","species.richness",0,-22.7912,113.5064,20210519,"outNP.20","Point Cloates",114,"Yes",0,0,6,4,14,0.510204081632653,49,1.08571428571429,0.445330582523918,"2021-05_PtCloates_BOSS",0,32,101.214881896973,0.583269195832612,281.467028943584,-0.873313903808594,2.20547676086426,6.37101745605469,51.8502960205078,-153.065170288086,0.489795918367347,"Fished"
"61","2021-05_PtCloates_BOSS_45","45","BOSS","total.abundance",1,-22.7512,113.4889,20210519,"outNP.21","Point Cloates",191,"Yes",0,0,0,0,0,1,50,0,0,"2021-05_PtCloates_BOSS",0,33,190.010101318359,2.32278200119123,297.625687296093,-0.348501205444336,8.2264461517334,28.8202056884766,9.8001537322998,-199.810256958008,0,"Fished"
"62","2021-05_PtCloates_BOSS_45","45","BOSS","species.richness",1,-22.7512,113.4889,20210519,"outNP.21","Point Cloates",191,"Yes",0,0,0,0,0,1,50,0,0,"2021-05_PtCloates_BOSS",0,33,190.010101318359,2.32278200119123,297.625687296093,-0.348501205444336,8.2264461517334,28.8202056884766,9.8001537322998,-199.810256958008,0,"Fished"
"63","2021-05_PtCloates_BOSS_46","46","BOSS","total.abundance",1,-22.7463,113.5214,20210520,"outNP.22","Point Cloates",113,"Yes",0,0,2,3,7,0.720930232558139,43,0.6875,0.535061045658012,"2021-05_PtCloates_BOSS",0,34,107.310768127441,1.02657547482616,284.540461940355,-0.140668869018555,3.67544364929199,10.7810211181641,28.2339496612549,-135.544723510742,0.27906976744186,"Fished"
"64","2021-05_PtCloates_BOSS_46","46","BOSS","species.richness",1,-22.7463,113.5214,20210520,"outNP.22","Point Cloates",113,"Yes",0,0,2,3,7,0.720930232558139,43,0.6875,0.535061045658012,"2021-05_PtCloates_BOSS",0,34,107.310768127441,1.02657547482616,284.540461940355,-0.140668869018555,3.67544364929199,10.7810211181641,28.2339496612549,-135.544723510742,0.27906976744186,"Fished"
"65","2021-05_PtCloates_BOSS_47","47","BOSS","total.abundance",2,-22.7637,113.4839,20210519,"outNP.23","Point Cloates",190,"Yes",0,0,0,0,0,1,50,0,0,"2021-05_PtCloates_BOSS",0,35,181.39599609375,2.40874694912638,298.274228743572,0.0472240447998047,8.51714515686035,29.9535369873047,24.7048683166504,-206.100860595703,0,"Fished"
"66","2021-05_PtCloates_BOSS_47","47","BOSS","species.richness",2,-22.7637,113.4839,20210519,"outNP.23","Point Cloates",190,"Yes",0,0,0,0,0,1,50,0,0,"2021-05_PtCloates_BOSS",0,35,181.39599609375,2.40874694912638,298.274228743572,0.0472240447998047,8.51714515686035,29.9535369873047,24.7048683166504,-206.100860595703,0,"Fished"
"67","2021-05_PtCloates_BOSS_48","48","BOSS","total.abundance",0,-22.7712,113.4688,20210519,"outNP.24","Point Cloates",208,"Yes",0,0,0,0,0,1,58,0,0,"2021-05_PtCloates_BOSS",0,36,222.682495117188,1.92249074670292,295.525275402299,-0.98309326171875,6.84294509887695,23.2386016845703,13.2761211395264,-235.958618164062,0,"Fished"
"68","2021-05_PtCloates_BOSS_48","48","BOSS","species.richness",0,-22.7712,113.4688,20210519,"outNP.24","Point Cloates",208,"Yes",0,0,0,0,0,1,58,0,0,"2021-05_PtCloates_BOSS",0,36,222.682495117188,1.92249074670292,295.525275402299,-0.98309326171875,6.84294509887695,23.2386016845703,13.2761211395264,-235.958618164062,0,"Fished"
"69","2021-05_PtCloates_BOSS_49","49","BOSS","total.abundance",3,-22.7986,113.4864,20210519,"outNP.25","Point Cloates",148,"Yes",0,0,2,1,2,0.868421052631579,38,0.314285714285714,0.471008215953606,"2021-05_PtCloates_BOSS",0,37,122.053665161133,1.54946054275885,298.484009235743,1.32264614105225,5.39433002471924,18.6223983764648,64.5897750854492,-186.643432617188,0.131578947368421,"Fished"
