"sample","latitude","longitude","date","site","location","depth","successful.count","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.substrate.unconsolidated.soft.","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"226",-22.7536,113.5408,20220519,NA,NA,86.6,"Yes",0,0,0,0,0,0,79,79,0,0
"203",-22.7548,113.55,20220519,NA,NA,75.7,"Yes",0,0,1,0,0,0,72,73,0.134615384615385,0.344642250084035
"207",-22.7523,113.5552,20220519,NA,NA,71.4,"Yes",0,0,0,0,0,0,79,79,0.0377358490566038,0.192380247561097
"221",-22.7519,113.5483,20220519,NA,NA,78.4,"Yes",0,0,0,0,0,0,80,80,0.0172413793103448,0.131306432859723
"264",-22.7655,113.5389,20220519,NA,NA,81.6,"Yes",25,0,0,7,15,0,11,58,1.69047619047619,0.896826253344299
"262",-22.7635,113.5347,20220519,NA,NA,91,"Yes",0,0,0,9,3,0,53,65,0.468085106382979,0.545776822909815
"265",-22.7561,113.529,20220519,NA,NA,99.2,"Yes",0,1,1,4,6,0,63,75,0.37037037037037,0.681183661718565
"266",-22.7531,113.5301,20220519,NA,NA,98.5,"Yes",0,0,0,9,10,0,56,75,0.679245283018868,0.510414044057913
"253",-22.7509,113.538,20220519,NA,NA,91.2,"Yes",0,0,3,4,2,0,64,73,0.25,0.436666882304686
"270",-22.7511,113.5387,20220519,NA,NA,91,"Yes",4,0,2,5,6,0,31,48,1.06976744186047,1.33444029353507
"201",-22.7488,113.5378,20220519,NA,NA,94.9,"Yes",0,0,0,2,2,0,71,75,0.12280701754386,0.331133089266261
"237",-22.7502,113.5462,20220519,NA,NA,81.8,"Yes",0,0,0,0,0,0,79,79,0,0
"240",-22.749,113.5509,20220519,NA,NA,75,"Yes",0,0,0,0,0,0,77,77,0.0508474576271186,0.221571877771722
"255",-22.7444,113.5428,20220521,NA,NA,87.3,"Yes",0,0,0,0,0,0,72,72,0,0
"216",-22.7451,113.5437,20220521,NA,NA,86.5,"Yes",0,0,1,1,0,0,64,66,0.166666666666667,0.376621788577355
"269",-22.7429,113.5458,20220521,NA,NA,83.1,"Yes",0,0,2,0,2,0,75,79,0.05,0.219784177651083
"231",-22.7464,113.5529,20220521,NA,NA,73.9,"Yes",0,0,0,0,0,0,77,77,0,0
"245",-22.7436,113.5519,20220521,NA,NA,75.8,"Yes",0,0,0,1,0,0,77,78,0.05,0.219784177651083
"209",-22.7402,113.5521,20220521,NA,NA,76.7,"Yes",0,0,0,0,0,0,76,76,0.0178571428571429,0.133630620956212
"241",-22.7403,113.5387,20220521,NA,NA,94.4,"Yes",0,0,0,0,0,60,0,60,0,0
"272",-22.7374,113.5422,20220521,NA,NA,89.2,"Yes",0,0,0,0,0,58,0,58,0,0
"244",-22.7347,113.5406,20220521,NA,NA,93,"Yes",0,0,0,0,0,52,0,52,0,0
"219",-22.7317,113.543,20220521,NA,NA,90.7,"Yes",0,0,0,0,0,55,0,55,0,0
"259",-22.7312,113.5443,20220521,NA,NA,88.9,"Yes",0,0,0,0,0,63,0,63,0,0
"230",-22.7341,113.5543,20220523,NA,NA,76.9,"Yes",0,0,0,0,0,0,64,64,0,0
"274",-22.7343,113.5502,20220523,NA,NA,79.2,"Yes",0,0,0,4,1,0,52,57,0.377777777777778,0.4903101471559
"205",-22.7321,113.5508,20220523,NA,NA,80.6,"Yes",0,0,1,24,6,0,28,59,1.06382978723404,0.247092248145165
"214",-22.733,113.5497,20220523,NA,NA,81.5,"Yes",0,0,2,0,0,0,74,76,0.0576923076923077,0.235435477898709
"256",-22.7326,113.5465,20220523,NA,NA,86.1,"Yes",0,0,0,6,0,0,48,54,0.2,0.405095746833467
"233",-22.7305,113.5526,20220523,NA,NA,76.2,"Yes",0,0,0,0,0,0,58,58,0,0
"251",-22.7277,113.554,20220523,NA,NA,76.4,"Yes",0,0,0,1,0,0,58,59,0.075,0.266746782836918
"212",-22.728,113.556,20220523,NA,NA,75,"Yes",0,0,0,0,1,0,71,72,0.0196078431372549,0.140028008402801
"227",-22.7262,113.5569,20220523,NA,NA,74.3,"No",0,0,1,2,0,0,73,76,0.0175438596491228,0.132453235706504
"235",-22.7275,113.5434,20220525,NA,NA,93,"Yes",0,0,0,0,0,0,57,57,0,0
"218",-22.726,113.5411,20220525,NA,NA,97.7,"Yes",0,0,0,2,1,0,48,51,0.102564102564103,0.307354740604728
"249",-22.7248,113.5444,20220525,NA,NA,92.3,"Yes",0,0,0,0,0,0,50,50,0.0277777777777778,0.166666666666667
"208",-22.7252,113.5464,20220525,NA,NA,89.2,"Yes",0,0,0,2,1,0,55,58,0.1,0.3038218101251
"228",-22.7233,113.5472,20220525,NA,NA,88,"Yes",0,0,0,0,0,0,60,60,0.025,0.158113883008419
"243",-22.7206,113.5573,20220525,NA,NA,74.4,"Yes",0,0,1,0,0,0,72,73,0.0392156862745098,0.196039211763921
"217",-22.7179,113.5593,20220525,NA,NA,73.2,"Yes",0,0,0,1,0,0,66,67,0.0681818181818182,0.254971705929353
"223",-22.7188,113.5517,20220525,NA,NA,80.5,"Yes",0,0,0,1,0,0,63,64,0.025,0.158113883008419
"260",-22.7177,113.5525,20220525,NA,NA,83.6,"Yes",0,0,1,3,0,0,49,53,0.3,0.464095480892257
"236",-22.717,113.5499,20220525,NA,NA,86.2,"Yes",0,0,0,0,0,0,49,49,0,0
"215",-22.712,113.5562,20220525,NA,NA,79.6,"Yes",0,0,0,0,0,0,53,53,0,0
"225",-22.7084,113.5624,20220525,NA,NA,72.1,"Yes",0,1,0,8,2,0,47,58,0.4,0.545376839841863
"252",-22.7054,113.5576,20220525,NA,NA,79.3,"Yes",0,0,0,3,1,0,55,59,0.2,0.405095746833467
"220",-22.7067,113.5554,20220525,NA,NA,80.8,"Yes",0,0,2,25,10,0,16,53,1.33333333333333,0.570265948512201
"268",-22.7054,113.5501,20220525,NA,NA,90.6,"Yes",0,1,1,0,0,0,50,52,0.15,0.36162028533979
"247",-22.7047,113.5467,20220525,NA,NA,96.4,"Yes",0,0,0,37,2,0,13,52,1.40425531914894,0.648059795553154
"254",-22.6993,113.5499,20220525,NA,NA,96,"Yes",0,2,1,14,6,0,33,56,1,0.223606797749979
"242",-22.7009,113.5519,20220525,NA,NA,88.5,"Yes",0,0,1,13,4,0,32,50,0.58974358974359,0.63734435532172
"206",-22.7019,113.5608,20220525,NA,NA,76.6,"Yes",0,0,2,6,2,0,49,59,0.377777777777778,0.534657447211377
"257",-22.7001,113.5592,20220525,NA,NA,79.4,"Yes",0,0,3,0,5,0,28,36,0.5,0.50709255283711
"229",-22.6961,113.5632,20220526,NA,NA,76.2,"Yes",0,0,0,2,1,0,37,40,0.325,0.474341649025257
"250",-22.6972,113.5605,20220526,NA,NA,78.1,"Yes",0,2,0,3,0,0,45,50,0.333333333333333,0.477118723613698
"258",-22.6958,113.5593,20220526,NA,NA,79.6,"Yes",4,0,0,0,0,0,57,61,0.372093023255814,0.976467291870559
"234",-22.6938,113.5563,20220526,NA,NA,85.6,"Yes",0,0,0,0,0,0,49,49,0.0294117647058824,0.171498585142509
"213",-22.6919,113.5534,20220526,NA,NA,93.5,"Yes",0,1,0,0,0,0,53,54,0,0
"204",-22.6911,113.5576,20220526,NA,NA,85.8,"Yes",0,0,1,14,1,0,41,57,0.543478260869565,0.78049903520847
"261",-22.6899,113.5608,20220526,NA,NA,78.8,"Yes",0,0,0,12,0,0,37,49,0.725,0.554122082262819
"222",-22.6884,113.561,20220526,NA,NA,78.2,"Yes",0,0,0,0,0,0,59,59,0.025,0.158113883008419
"246",-22.6891,113.5588,20220526,NA,NA,84.3,"Yes",0,0,0,0,0,0,52,52,0,0
"239",-22.6885,113.5564,20220526,NA,NA,90.5,"Yes",0,0,0,0,1,0,48,49,0.166666666666667,0.379049021789452
"238",-22.6864,113.5594,20220527,NA,NA,85.9,"Yes",0,0,0,0,0,0,55,55,0.025,0.158113883008419
"210",-22.686,113.5589,20220527,NA,NA,87.7,"Yes",0,0,0,0,0,0,48,48,0.0277777777777778,0.166666666666667
"202",-22.6851,113.5571,20220527,NA,NA,91.4,"Yes",0,0,0,0,0,0,57,57,0,0
"263",-22.684,113.5635,20220527,NA,NA,77.7,"Yes",8,0,1,13,15,0,9,46,1.42424242424242,0.902437775912522
"271",-22.6776,113.5654,20220527,NA,NA,79.5,"Yes",0,0,1,17,1,0,33,52,0.795454545454545,0.408032457358392
"273",-22.6741,113.5665,20220527,NA,NA,77.2,"Yes",22,0,1,10,2,0,40,75,2.19642857142857,1.35404636495268
"267",-22.6751,113.5615,20220527,NA,NA,88.4,"Yes",0,0,0,6,3,0,57,66,0.375,0.49029033784546
